user_id,variant,assigned_date
1,A,2026-08-07
2,A,2026-08-20
3,A,2026-08-29
4,A,2026-08-15
5,B,2026-08-11
6,B,2026-08-08
7,B,2026-08-29
8,A,2026-08-21
9,A,2026-08-07
10,B,2026-08-26
11,B,2026-08-19
12,B,2026-08-23
13,B,2026-08-11
14,B,2026-08-11
15,B,2026-08-24
16,A,2026-08-21
17,B,2026-08-04
18,B,2026-08-08
19,A,2026-08-24
20,A,2026-08-03
21,B,2026-08-22
22,A,2026-08-21
23,B,2026-08-02
24,B,2026-08-24
25,A,2026-08-12
26,A,2026-08-30
27,B,2026-08-06
28,A,2026-08-02
29,B,2026-08-28
30,A,2026-08-21
31,B,2026-08-01
32,B,2026-08-12
33,A,2026-08-26
34,A,2026-08-22
35,A,2026-08-29
36,A,2026-08-12
37,B,2026-08-25
38,A,2026-08-17
39,A,2026-08-27
40,A,2026-08-27
41,A,2026-08-10
42,A,2026-08-28
43,B,2026-08-28
44,A,2026-08-16
45,B,2026-08-15
46,A,2026-08-30
47,A,2026-08-30
48,B,2026-08-15
49,A,2026-08-30
50,A,2026-08-19
51,B,2026-08-12
52,B,2026-08-23
53,B,2026-08-20
54,B,2026-08-25
55,B,2026-08-03
56,A,2026-08-05
57,B,2026-08-19
58,A,2026-08-07
59,A,2026-08-21
60,B,2026-08-09
61,A,2026-08-07
62,A,2026-08-18
63,B,2026-08-04
64,B,2026-08-25
65,A,2026-08-28
66,B,2026-08-14
67,A,2026-08-18
68,B,2026-08-26
69,B,2026-08-09
70,B,2026-08-26
71,A,2026-08-21
72,B,2026-08-02
73,A,2026-08-20
74,A,2026-08-28
75,B,2026-08-15
76,A,2026-08-28
77,B,2026-08-07
78,A,2026-08-12
79,A,2026-08-29
80,A,2026-08-08
81,B,2026-08-15
82,B,2026-08-03
83,B,2026-08-14
84,B,2026-08-17
85,A,2026-08-04
86,A,2026-08-18
87,B,2026-08-08
88,B,2026-08-04
89,B,2026-08-02
90,A,2026-08-30
91,A,2026-08-06
92,B,2026-08-22
93,A,2026-08-10
94,B,2026-08-04
95,B,2026-08-22
96,B,2026-08-29
97,A,2026-08-18
98,A,2026-08-26
99,A,2026-08-12
100,A,2026-08-02
101,B,2026-08-10
102,B,2026-08-30
103,A,2026-08-04
104,A,2026-08-14
105,B,2026-08-16
106,B,2026-08-15
107,B,2026-08-08
108,B,2026-08-14
109,B,2026-08-23
110,A,2026-08-28
111,B,2026-08-25
112,B,2026-08-30
113,A,2026-08-08
114,A,2026-08-21
115,A,2026-08-16
116,A,2026-08-13
117,A,2026-08-18
118,B,2026-08-15
119,A,2026-08-21
120,B,2026-08-24
121,B,2026-08-26
122,A,2026-08-25
123,B,2026-08-28
124,A,2026-08-28
125,B,2026-08-28
126,B,2026-08-13
127,B,2026-08-09
128,B,2026-08-29
129,B,2026-08-15
130,A,2026-08-13
131,B,2026-08-01
132,A,2026-08-25
133,A,2026-08-07
134,B,2026-08-09
135,A,2026-08-24
136,B,2026-08-01
137,B,2026-08-12
138,A,2026-08-08
139,A,2026-08-24
140,B,2026-08-11
141,A,2026-08-19
142,A,2026-08-17
143,A,2026-08-08
144,A,2026-08-03
145,B,2026-08-03
146,B,2026-08-01
147,A,2026-08-27
148,B,2026-08-05
149,A,2026-08-10
150,B,2026-08-07
151,A,2026-08-26
152,B,2026-08-09
153,A,2026-08-28
154,B,2026-08-07
155,A,2026-08-09
156,B,2026-08-08
157,B,2026-08-12
158,B,2026-08-02
159,A,2026-08-01
160,A,2026-08-16
161,A,2026-08-23
162,B,2026-08-23
163,B,2026-08-30
164,A,2026-08-24
165,A,2026-08-05
166,A,2026-08-03
167,B,2026-08-12
168,B,2026-08-08
169,B,2026-08-22
170,B,2026-08-27
171,A,2026-08-03
172,A,2026-08-01
173,B,2026-08-03
174,A,2026-08-05
175,B,2026-08-15
176,A,2026-08-14
177,A,2026-08-03
178,B,2026-08-01
179,A,2026-08-05
180,B,2026-08-26
181,A,2026-08-23
182,B,2026-08-14
183,B,2026-08-07
184,B,2026-08-27
185,A,2026-08-09
186,A,2026-08-15
187,A,2026-08-15
188,B,2026-08-26
189,B,2026-08-10
190,A,2026-08-28
191,A,2026-08-13
192,B,2026-08-19
193,A,2026-08-07
194,A,2026-08-17
195,A,2026-08-20
196,A,2026-08-29
197,B,2026-08-04
198,A,2026-08-30
199,A,2026-08-05
200,B,2026-08-23
201,A,2026-08-07
202,B,2026-08-13
203,B,2026-08-15
204,B,2026-08-11
205,A,2026-08-29
206,B,2026-08-04
207,A,2026-08-13
208,A,2026-08-07
209,B,2026-08-27
210,A,2026-08-19
211,B,2026-08-22
212,A,2026-08-28
213,B,2026-08-02
214,A,2026-08-10
215,A,2026-08-13
216,B,2026-08-30
217,B,2026-08-25
218,A,2026-08-21
219,B,2026-08-06
220,B,2026-08-28
221,A,2026-08-28
222,B,2026-08-12
223,A,2026-08-12
224,A,2026-08-20
225,B,2026-08-30
226,A,2026-08-30
227,B,2026-08-11
