user_id,country,device,traffic_source,signup_date
1,Malaysia,Mobile,Organic,2026-08-07
2,Malaysia,Mobile,Email,2026-08-20
3,Thailand,Mobile,Instagram,2026-08-29
4,Thailand,Mobile,Facebook Ads,2026-08-15
5,Thailand,Tablet,Instagram,2026-08-11
6,Thailand,Mobile,Facebook Ads,2026-08-08
7,Thailand,Mobile,Google Ads,2026-08-29
8,Indonesia,Desktop,Organic,2026-08-21
9,Indonesia,Tablet,Instagram,2026-08-07
10,Thailand,Mobile,Organic,2026-08-26
11,Indonesia,Desktop,Instagram,2026-08-19
12,Thailand,Mobile,Organic,2026-08-23
13,Thailand,Desktop,Facebook Ads,2026-08-11
14,Thailand,Mobile,Facebook Ads,2026-08-11
15,Indonesia,Tablet,Organic,2026-08-24
16,Singapore,Mobile,Instagram,2026-08-21
17,Singapore,Desktop,Facebook Ads,2026-08-04
18,Singapore,Mobile,Organic,2026-08-08
19,India,Mobile,Organic,2026-08-24
20,Singapore,Mobile,Organic,2026-08-03
21,Singapore,Desktop,Instagram,2026-08-22
22,Singapore,Mobile,Google Ads,2026-08-21
23,Malaysia,Desktop,Google Ads,2026-08-02
24,Thailand,Desktop,Instagram,2026-08-24
25,Indonesia,Mobile,Email,2026-08-12
26,Malaysia,Mobile,Organic,2026-08-30
27,Thailand,Mobile,Instagram,2026-08-06
28,Singapore,Mobile,Instagram,2026-08-02
29,Singapore,Mobile,Email,2026-08-28
30,Malaysia,Desktop,Google Ads,2026-08-21
31,Indonesia,Desktop,Facebook Ads,2026-08-01
32,Malaysia,Mobile,Email,2026-08-12
33,Malaysia,Mobile,Google Ads,2026-08-26
34,Thailand,Mobile,Organic,2026-08-22
35,India,Mobile,Organic,2026-08-29
36,Indonesia,Mobile,Google Ads,2026-08-12
37,Indonesia,Mobile,Facebook Ads,2026-08-25
38,Malaysia,Mobile,Google Ads,2026-08-17
39,Malaysia,Mobile,Instagram,2026-08-27
40,Singapore,Mobile,Facebook Ads,2026-08-27
41,Malaysia,Mobile,Google Ads,2026-08-10
